item,year,week_of_year,weekly_sales,week_has_holiday,store
1,2013,1,93,1,1
1,2013,2,66,0,1
1,2013,3,80,0,1
1,2013,4,70,1,1
1,2013,5,86,0,1
1,2013,6,82,0,1
1,2013,7,80,1,1
1,2013,8,78,1,1
1,2013,9,83,0,1
1,2013,10,97,0,1
1,2013,11,101,0,1
1,2013,12,122,0,1
1,2013,13,109,1,1
1,2013,14,131,0,1
1,2013,15,128,0,1
1,2013,16,125,0,1
1,2013,17,112,0,1
1,2013,18,121,1,1
1,2013,19,102,0,1
1,2013,20,108,0,1
1,2013,21,151,0,1
1,2013,22,123,1,1
1,2013,23,139,0,1
1,2013,24,152,0,1
1,2013,25,142,1,1
1,2013,26,146,0,1
1,2013,27,143,1,1
1,2013,28,162,0,1
1,2013,29,143,0,1
1,2013,30,152,0,1
1,2013,31,151,0,1
1,2013,32,138,0,1
1,2013,33,133,0,1
1,2013,34,127,0,1
1,2013,35,131,1,1
1,2013,36,111,1,1
1,2013,37,129,0,1
1,2013,38,110,0,1
1,2013,39,124,0,1
1,2013,40,105,0,1
1,2013,41,114,0,1
1,2013,42,108,1,1
1,2013,43,108,0,1
1,2013,44,132,0,1
1,2013,45,128,0,1
1,2013,46,113,1,1
1,2013,47,136,0,1
1,2013,48,148,1,1
1,2013,49,97,0,1
1,2013,50,78,0,1
1,2013,51,81,0,1
1,2013,52,96,1,1
1,2014,1,103,1,1
1,2014,2,95,0,1
1,2014,3,106,0,1
1,2014,4,107,1,1
1,2014,5,85,0,1
1,2014,6,105,0,1
1,2014,7,104,1,1
1,2014,8,103,1,1
1,2014,9,99,0,1
1,2014,10,116,0,1
1,2014,11,137,0,1
1,2014,12,144,0,1
1,2014,13,102,0,1
1,2014,14,125,0,1
1,2014,15,140,0,1
1,2014,16,144,1,1
1,2014,17,133,0,1
1,2014,18,132,0,1
1,2014,19,137,0,1
1,2014,20,158,0,1
1,2014,21,149,0,1
1,2014,22,145,1,1
1,2014,23,162,0,1
1,2014,24,163,0,1
1,2014,25,181,1,1
1,2014,26,164,0,1
1,2014,27,168,1,1
1,2014,28,162,0,1
1,2014,29,170,0,1
1,2014,30,184,0,1
1,2014,31,140,0,1
1,2014,32,161,0,1
1,2014,33,142,0,1
1,2014,34,154,0,1
1,2014,35,152,1,1
1,2014,36,152,1,1
1,2014,37,133,0,1
1,2014,38,124,0,1
1,2014,39,124,0,1
1,2014,40,144,0,1
1,2014,41,138,0,1
1,2014,42,117,1,1
1,2014,43,119,0,1
1,2014,44,120,0,1
1,2014,45,131,0,1
1,2014,46,131,1,1
1,2014,47,148,0,1
1,2014,48,159,1,1
1,2014,49,87,0,1
1,2014,50,91,0,1
1,2014,51,98,0,1
1,2014,52,101,1,1
1,2015,1,60,1,1
1,2015,2,108,0,1
1,2015,3,89,0,1
1,2015,4,95,1,1
1,2015,5,93,0,1
1,2015,6,86,0,1
1,2015,7,103,1,1
1,2015,8,110,1,1
1,2015,9,101,0,1
1,2015,10,106,0,1
1,2015,11,141,0,1
1,2015,12,140,0,1
1,2015,13,110,0,1
1,2015,14,154,1,1
1,2015,15,138,1,1
1,2015,16,155,0,1
1,2015,17,148,0,1
1,2015,18,169,0,1
1,2015,19,155,0,1
1,2015,20,161,0,1
1,2015,21,156,0,1
1,2015,22,164,1,1
1,2015,23,169,0,1
1,2015,24,169,0,1
1,2015,25,177,1,1
1,2015,26,184,0,1
1,2015,27,196,1,1
1,2015,28,173,0,1
1,2015,29,209,0,1
1,2015,30,196,0,1
1,2015,31,164,0,1
1,2015,32,165,0,1
1,2015,33,155,0,1
1,2015,34,143,0,1
1,2015,35,176,0,1
1,2015,36,160,1,1
1,2015,37,160,1,1
1,2015,38,169,0,1
1,2015,39,160,0,1
1,2015,40,128,0,1
1,2015,41,141,0,1
1,2015,42,151,1,1
1,2015,43,166,0,1
1,2015,44,136,0,1
1,2015,45,162,0,1
1,2015,46,163,1,1
1,2015,47,168,0,1
1,2015,48,160,1,1
1,2015,49,99,0,1
1,2015,50,117,0,1
1,2015,51,107,0,1
1,2015,52,93,1,1
1,2015,53,49,1,1
1,2016,1,106,0,1
1,2016,2,81,0,1
1,2016,3,108,1,1
1,2016,4,108,0,1
1,2016,5,106,0,1
1,2016,6,104,1,1
1,2016,7,130,1,1
1,2016,8,96,0,1
1,2016,9,123,0,1
